Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
Gpr37,Muller,"Classic Muller cell marker (along with Aqp4, Clu, Kir4.1/Kcnj10, S100a16, CRALBP-1/Rlbp1, GS/Glul, Dkk3, Chx-10/Vsx2, Spbc25/Spc25, GPR37, and Car2). Highly enriched THY1-bead pulldown expression, high RGC/retina ratio. But high THY1/CD15 ratio"
Fxyd1,"Muller, astrocyte",Primarily Muller cell and astrocyte. Has high THY/CD ratio. Howell shows this gene upregulated in early glaucoma
Gngt1,"RGC candidate, photoreceptor, high THY1/CD15","Considered a rod marker, but very high expression in Pete Williams RGCs and in Eldon Geisert's FACS  RGC/retina ratio data (3.3). Much higher expression in THY1 than CD15 set. Peng et al., 1992"
2900052N01Rik,"Muller candidate, high THY1/CD15 ratio",High THY/CD ratio
Mlc1,"Muller,astrocyte",Macosko as Muller and astrocyte marker. High THY/CD ratio
Rax,"RGC candidate, high THY1/CD15 ratio","High expression in optic tract (moderately small subpopulation of axons), latetal pretectal nuclei, and superior colliculus in GENSAT. Highly enriched RGC/retina ratio in Geisert.  RGC high THY/CD ratio using our scRNA-seq. http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0112175"
Fzd5,"Muller candidate, high THY1/CD15 ratio","Probable Muller glial cells, high THY/CD ratio"
Cav2,"Muller candidate, high THY1/CD15 ratio","Probable Muller glial cells, high THY/CD ratio"
Cav1,"RGC master, Muller","Conflict with Rheaume, Macosko as Muller glial marker but Rheaume as RGC_Type_6,  high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Col9a1,"Muller, fibroblast","Macosko as very high Muller cell and fibroblast markers, high THY/CD ratio, "
Gm26669,"Muller candidate, high THY1/CD15 ratio",High THY/CD ratio and like to be Muller glial cell from our single cell data
Utp14b,"Muller,  high THY1/CD15 ratio","Muller cell according to Macosko, high THY/CD ratio"
Mfge8,"Muller,  high THY1/CD15 ratio","Macosko as Muller cell and pericyte marker, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75. High expression in Muller glial (Roesch 2008). "
Lhx2,"Muller candidate, high THY1/CD15 ratio",RGC high THY/CD ratio
Pdlim3,"Muller candidate, high THY1/CD15 ratio","Wiki_RGC, RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
BC055402,"Muller candidate, high THY1/CD15 ratio",High THY/CD ratio
Zfp36l1,"Muller,  high THY1/CD15 ratio","Macosko as Muller cell, has high THY1/CD15 ratio"
Sox2,"Muller,  high THY1/CD15 ratio","Macosko as amacrine cell marker, but RGC high THY/CD ratio"
